wavelength calibrated_flux flux_var
3599.2158323762574 8.150146497248858e-17 7.988475935785525e-35
3601.266727179914 8.192277144017596e-17 1.26745482747563e-34
3603.317621983571 6.956227648630702e-17 9.433176401633011e-35
3605.3685167872277 7.428047265958827e-17 8.144443277390232e-35
3607.4194115908845 8.241208416899312e-17 1.2327962133170275e-34
3609.4703063945412 5.898476182468669e-17 1.1621626879537797e-34
3611.521201198198 5.0397922760151087e-17 1.3990049919875527e-34
3613.572096001855 4.059952796713122e-17 1.132034083813894e-34
3615.6229908055116 6.052800385613405e-17 9.345812040266483e-35
3617.673885609169 4.815359028969067e-17 9.190518077377565e-35
3619.7247804128256 6.996173979365588e-17 7.764872003694957e-35
3621.7756752164823 6.12099884044955e-17 6.813410393096381e-35
3623.826570020139 8.683069727051778e-17 6.510746258501115e-35
3625.877464823796 7.455965196877096e-17 5.492378346646002e-35
3627.9283596274527 8.307446894894603e-17 6.076402049255824e-35
3629.9792544311094 8.000488772160946e-17 5.07994654385939e-35
3632.030149234766 7.475727553105785e-17 7.40760758068005e-35
3634.081044038423 7.905441213223109e-17 5.555133002981041e-35
3636.1319388420798 7.355125781703574e-17 5.399761004979421e-35
3638.1828336457365 6.659043175771788e-17 5.769123090222091e-35
3640.2337284493933 8.602206877376451e-17 7.037455947540974e-35
3642.28462325305 5.487885593643732e-17 4.692780773005153e-35
3644.335518056707 7.775649382272582e-17 4.954286249812338e-35
3646.3864128603636 7.034462878656485e-17 4.7501911383959227e-35
3648.4373076640204 6.017318433134002e-17 4.144857058488267e-35
3650.488202467677 6.642393003440991e-17 3.6589814728067955e-35
3652.539097271334 6.20281595283277e-17 4.510012785311007e-35
3654.5899920749907 7.640619769134192e-17 5.08648964099194e-35
3656.640886878648 7.763879579709703e-17 3.7578928697292505e-35
3658.6917816823047 6.602401764818597e-17 4.511057813421237e-35
3660.7426764859615 7.435410308497478e-17 3.7627723743052573e-35
3662.7935712896183 6.94328146191053e-17 3.023911792403983e-35
3664.844466093275 8.486443330213582e-17 4.2010054556914714e-35
3666.895360896932 7.107979808072479e-17 3.365811748343895e-35
3668.9462557005886 7.756910017224298e-17 3.6325045665319205e-35
3670.9971505042454 8.305892444980308e-17 3.245770196448704e-35
3673.048045307902 7.751410116431942e-17 3.1709301956673327e-35
3675.098940111559 6.357560674478672e-17 3.048535150089146e-35
3677.1498349152157 7.776040605995697e-17 2.9671461831721524e-35
3679.2007297188725 6.15931833022436e-17 2.8497291250927853e-35
3681.2516245225293 4.802416564630912e-17 2.452916984746951e-35
3683.302519326186 5.052167432101492e-17 3.0910847313810183e-35
3685.353414129843 5.031942196994082e-17 3.088769805847782e-35
3687.4043089334996 7.140607581957184e-17 2.8285689700748205e-35
3689.4552037371564 8.752412906150225e-17 2.8198595311172865e-35
3691.506098540813 6.881705589397394e-17 2.556163820753641e-35
3693.5569933444704 8.106496705872392e-17 2.6424468293878796e-35
3695.607888148127 7.879613699402823e-17 2.9167700659725185e-35
3697.658782951784 5.863382273635821e-17 2.3490779526548704e-35
3699.7096777554407 7.012955145388347e-17 2.5334899657857916e-35
3701.7605725590975 6.320318380035251e-17 2.3491429211615895e-35
3703.8114673627542 7.958072694820626e-17 2.3778191052676184e-35
3705.862362166411 8.170789002231876e-17 2.503317768260777e-35
3707.913256970068 8.004881163689273e-17 2.4511191277483637e-35
3709.9641517737246 6.598992891333539e-17 2.2010123818859097e-35
3712.0150465773813 7.121495340584891e-17 2.1736008130876853e-35
3714.065941381038 7.409300378757109e-17 2.0582324981631444e-35
3716.116836184695 7.06483259516784e-17 2.1659477831055035e-35
3718.1677309883517 7.090783947146126e-17 2.0973291955654988e-35
3720.2186257920084 8.67000728431648e-17 2.248430938076124e-35
3722.269520595665 6.5571175031741e-17 1.944094213060125e-35
3724.320415399322 7.382432338633845e-17 2.2939151174631837e-35
3726.3713102029787 5.49112640535013e-17 1.7182744102868332e-35
3728.4222050066355 6.148476218270483e-17 1.8809200351119298e-35
3730.4730998102923 5.3330024606349044e-17 1.474527684877835e-35
3732.5239946139495 6.713968455649836e-17 1.9842380291925164e-35
3734.5748894176063 6.416733792488203e-17 1.7683631470697856e-35
3736.625784221263 7.152611594987191e-17 1.677625260169615e-35
3738.67667902492 6.56530955689101e-17 1.75381256417974e-35
3740.7275738285766 6.993642001935494e-17 1.8096303532682024e-35
3742.7784686322334 7.58413590046495e-17 1.8654347014265392e-35
3744.82936343589 6.200142818551264e-17 1.6301141378247816e-35
3746.880258239547 6.707604060717737e-17 1.6137909565501445e-35
3748.9311530432037 6.871716478809407e-17 1.5888973053399812e-35
3750.9820478468605 6.061880692563802e-17 1.530201913047169e-35
3753.0329426505173 7.011827375570962e-17 1.548801127115823e-35
3755.083837454174 5.666257655876861e-17 1.384036333721744e-35
3757.134732257831 3.7001463045328154e-17 1.0090072473802269e-35
3759.1856270614876 3.8200576379075083e-17 1.0789394952040242e-35
3761.2365218651444 5.264367026744504e-17 1.2449921836674927e-35
3763.287416668801 6.380284718245765e-17 1.3570745092240646e-35
3765.338311472458 6.679946301014585e-17 1.4101295361527122e-35
3767.3892062761147 5.737095233800502e-17 1.245067819836279e-35
3769.440101079772 6.668772405443347e-17 1.3185600772913393e-35
3771.4909958834287 6.298995342872302e-17 1.2541177422098798e-35
3773.5418906870855 5.5917053318103e-17 1.2314878621157608e-35
3775.5927854907422 5.166318996006376e-17 1.0923065089577682e-35
3777.643680294399 4.058532566688433e-17 1.0266667068685561e-35
3779.694575098056 4.906550582900069e-17 9.691503576156076e-36
3781.7454699017126 4.5259763307008706e-17 9.733004301499976e-36
3783.7963647053693 5.846845483462722e-17 1.0866722041408802e-35
3785.847259509026 6.434534877063363e-17 1.222129494295309e-35
3787.898154312683 6.443812273371852e-17 1.1756106632866126e-35
3789.9490491163397 7.08304222116518e-17 1.2122186497699251e-35
3791.9999439199964 6.531553923902126e-17 1.1334021376827425e-35
3794.050838723653 5.936863333744202e-17 1.10082419554724e-35
3796.10173352731 6.200582066280294e-17 1.0943951805975253e-35
3798.1526283309668 6.462161086813332e-17 1.0738666065754754e-35
3800.2035231346235 5.857457347273634e-17 9.870214363648569e-36
3802.2544179382803 5.649764129359213e-17 9.67831740203118e-36
3804.305312741937 6.689816875893085e-17 1.1068214818435053e-35
3806.356207545594 7.039920505211197e-17 1.0496337945830235e-35
3808.407102349251 5.693915472785526e-17 9.700288154276338e-36
3810.457997152908 6.565958091239037e-17 1.0294245821002612e-35
3812.5088919565646 5.906277734082712e-17 9.647247402804372e-36
3814.5597867602214 6.196518753104794e-17 1.0100099441567776e-35
3816.610681563878 4.996990893053537e-17 8.615793450497005e-36
3818.661576367535 5.998020191143635e-17 9.193884916313474e-36
3820.7124711711917 6.470895366564705e-17 9.424958518783717e-36
3822.7633659748485 5.960399717928722e-17 8.847292873854416e-36
3824.8142607785053 6.28600548622504e-17 8.349892170818207e-36
3826.865155582162 5.674740121952662e-17 8.479217608455161e-36
3828.916050385819 5.634403729601974e-17 8.093148927730961e-36
3830.9669451894756 4.179240753356726e-17 7.777684223378809e-36
3833.0178399931324 4.1256104972741617e-17 6.402845032967158e-36
3835.068734796789 5.077406739286512e-17 7.714873409562097e-36
3837.119629600446 6.018839360057375e-17 8.164556262540252e-36
3839.1705244041027 6.35226707312397e-17 8.398935555533825e-36
3841.2214192077595 7.663619541741004e-17 9.936671000158301e-36
3843.2723140114163 6.924135605830263e-17 9.036964151688616e-36
3845.3232088150735 5.575219818568902e-17 7.601996491257873e-36
3847.3741036187303 5.377469305587038e-17 7.286551071058643e-36
3849.424998422387 5.4235795412001146e-17 7.244646090761468e-36
3851.475893226044 4.678053105578613e-17 6.507233279084424e-36
3853.5267880297006 4.2402917419417595e-17 5.838517312069052e-36
3855.5776828333574 4.6900864639979845e-17 6.183732018578205e-36
3857.628577637014 4.408238218757288e-17 5.9895277631016106e-36
3859.679472440671 5.1580028730303455e-17 6.22100495582596e-36
3861.7303672443277 4.775180675666504e-17 5.9132780098840755e-36
3863.7812620479845 6.717585582223891e-17 7.681052995641494e-36
3865.8321568516412 7.483921066877418e-17 8.30946370769722e-36
3867.883051655298 8.598990657011308e-17 9.370398340739264e-36
3869.933946458955 7.828904296769559e-17 8.2258570959059e-36
3871.9848412626116 6.689723915869958e-17 7.71987413054455e-36
3874.0357360662683 6.149724171387876e-17 6.984194876275588e-36
3876.086630869925 6.280047279428253e-17 7.037116839986001e-36
3878.137525673582 6.931316283404401e-17 7.598223765098814e-36
3880.1884204772387 7.366149849391291e-17 7.586576907742614e-36
3882.2393152808954 7.147923225922779e-17 7.671257800230827e-36
3884.290210084552 7.807036805984358e-17 8.14154154168613e-36
3886.3411048882094 7.421376244879601e-17 7.883687747725747e-36
3888.391999691866 6.02092109562567e-17 6.53312873721089e-36
3890.442894495523 6.53869413709732e-17 7.369962247458945e-36
3892.4937892991798 5.848807822664753e-17 6.291924737197827e-36
3894.5446841028365 6.503488875352393e-17 7.03163634027832e-36
3896.5955789064933 6.207561981983425e-17 6.89290326125433e-36
3898.64647371015 7.952962387049467e-17 7.898056646234637e-36
3900.697368513807 8.410671609117824e-17 8.496232403913052e-36
3902.7482633174636 8.633285678518649e-17 8.610982001913252e-36
3904.7991581211204 8.587519440216564e-17 8.52287376251837e-36
3906.850052924777 9.368228754090487e-17 9.377964589232532e-36
3908.900947728434 1.0031291581568807e-16 1.025246316910429e-35
3910.9518425320907 9.923204839190733e-17 1.0421320184873705e-35
3913.0027373357475 9.329541513345787e-17 1.0152957229128636e-35
3915.0536321394043 9.305903176219775e-17 9.292639348127853e-36
3917.104526943061 1.0164354897242261e-16 9.380901295189002e-36
3919.155421746718 1.0148155360761367e-16 9.177994698898526e-36
3921.206316550375 1.0496469818498215e-16 9.322247085953884e-36
3923.257211354032 1.1145893032500666e-16 9.874391447550622e-36
3925.3081061576886 1.109989795086292e-16 9.690335438444899e-36
3927.3590009613454 1.0076272344825501e-16 8.532872743014212e-36
3929.409895765002 9.801346937819144e-17 8.31618836377245e-36
3931.460790568659 1.0042610088326985e-16 8.311529790215197e-36
3933.5116853723157 1.0917113941809805e-16 9.079534940711821e-36
3935.5625801759725 1.1850715652484823e-16 9.77154574177851e-36
3937.6134749796292 1.1931932372658716e-16 1.009512438577062e-35
3939.664369783286 1.2101934462466527e-16 1.0482367606651476e-35
3941.715264586943 1.2001830376521647e-16 1.030222529884415e-35
3943.7661593905996 1.1834174161762565e-16 1.0255157043367459e-35
3945.8170541942563 1.2798569026924927e-16 1.1051788886334702e-35
3947.867948997913 1.2016422395572407e-16 1.0397529497413375e-35
3949.91884380157 1.1073044337348343e-16 9.250325692392279e-36
3951.9697386052267 1.0850053614776253e-16 9.31443985901943e-36
3954.0206334088834 1.0997784508679514e-16 9.346050553726063e-36
3956.07152821254 1.0875664036847086e-16 9.095712185581453e-36
3958.122423016197 9.996012758395657e-17 8.175386115483131e-36
3960.1733178198538 9.495337139024155e-17 7.737336152186338e-36
3962.2242126235105 1.083188441808074e-16 8.536840097003295e-36
3964.2751074271678 1.2638014820850782e-16 1.0056459963026133e-35
3966.3260022308245 1.2580497924012612e-16 9.837475621040085e-36
3968.3768970344813 1.1435801875686312e-16 8.672134998936375e-36
3970.427791838138 1.34101728964166e-16 1.0422666939296323e-35
3972.478686641795 1.676230209161487e-16 1.35716692625315e-35
3974.5295814454516 1.6160356134515184e-16 1.2996136849725524e-35
3976.5804762491084 1.5717956165984292e-16 1.290561535006839e-35
3978.631371052765 1.4725939318395016e-16 1.1692910094270213e-35
3980.682265856422 1.516129251833964e-16 1.1979643192947359e-35
3982.7331606600787 1.6305830852749366e-16 1.308633612572328e-35
3984.7840554637355 1.704247962627807e-16 1.3801856993211723e-35
3986.8349502673923 1.6894533238705454e-16 1.3412667819034306e-35
3988.885845071049 1.8098455432492415e-16 1.453714721865604e-35
3990.936739874706 1.773809892734703e-16 1.419765820040101e-35
3992.9876346783626 1.5532005385278e-16 1.2069014068190096e-35
3995.0385294820194 1.3611916984965495e-16 1.0305352870929086e-35
3997.0894242856766 1.2821076901479886e-16 9.764629100866566e-36
3999.1403190893334 1.1388305972564774e-16 8.68600896019275e-36
4001.19121389299 1.32802847808493e-16 1.0157216422487225e-35
4003.242108696647 1.4224084903157844e-16 1.0847340802199428e-35
4005.2930035003037 1.7815726727744818e-16 1.4068877812182966e-35
4007.3438983039605 1.812060585966652e-16 1.454095638611367e-35
4009.3947931076173 1.8124116398887076e-16 1.44885797743498e-35
4011.445687911274 1.8186428974885716e-16 1.4472289296523188e-35
4013.496582714931 1.8227176296770134e-16 1.422217551166737e-35
4015.5474775185876 1.721253749308283e-16 1.3470251060373977e-35
4017.5983723222444 1.7133337234701936e-16 1.3415893115332505e-35
4019.649267125901 1.6711874605543127e-16 1.2849340260865942e-35
4021.700161929558 1.638085241333582e-16 1.2499003604329153e-35
4023.7510567332147 1.611695757384656e-16 1.2358661612767988e-35
4025.8019515368715 1.4860932292922697e-16 1.1204491993077128e-35
4027.8528463405282 1.5987289976758525e-16 1.2174630418092677e-35
4029.903741144185 1.584526394594151e-16 1.1960365209944281e-35
4031.954635947842 1.5156763070855198e-16 1.125025974687036e-35
4034.0055307514986 1.4750480805163596e-16 1.0861292863201087e-35
4036.0564255551553 1.505605395325597e-16 1.1222298824658997e-35
4038.107320358812 1.5040711544888366e-16 1.1318964936620986e-35
4040.1582151624693 1.514561316065952e-16 1.1148644975821236e-35
4042.209109966126 1.498013360312306e-16 1.1235397081063766e-35
4044.260004769783 1.4945637671632485e-16 1.105997735311344e-35
4046.3108995734397 1.448270004690848e-16 1.0644235082088639e-35
4048.3617943770964 1.4966940528137129e-16 1.0955911684966987e-35
4050.412689180753 1.4856530484662236e-16 1.1045763365659848e-35
4052.46358398441 1.4985557084715257e-16 1.086308430880438e-35
4054.5144787880668 1.5026813148461065e-16 1.0893430960973102e-35
4056.5653735917235 1.5561207520403946e-16 1.128115099560483e-35
4058.6162683953803 1.5662186191296512e-16 1.147650484124133e-35
4060.667163199037 1.5275947710600163e-16 1.1026200101434592e-35
4062.718058002694 1.521966779763771e-16 1.0992901326338402e-35
4064.7689528063506 1.5797489214279386e-16 1.1667666263861054e-35
4066.8198476100074 1.5464947117112296e-16 1.1351594002725878e-35
4068.870742413664 1.5008091153687205e-16 1.1075394008832773e-35
4070.921637217321 1.4479389815524399e-16 1.0534502741235606e-35
4072.972532020978 1.330981334241112e-16 9.535499635920152e-36
4075.023426824635 1.3888180645954445e-16 9.809036415365354e-36
4077.0743216282917 1.4269843440016387e-16 1.006793596782503e-35
4079.1252164319485 1.4890471401704175e-16 1.0755336338274546e-35
4081.1761112356053 1.4528067534706536e-16 1.0368547533226099e-35
4083.227006039262 1.419844617053337e-16 1.0185629652958257e-35
4085.277900842919 1.3950076401015495e-16 9.86093660224507e-36
4087.3287956465756 1.4196752733399117e-16 1.0115477348167895e-35
4089.3796904502324 1.34340348307239e-16 9.374397695633144e-36
4091.430585253889 1.2738003538602418e-16 8.895376847243164e-36
4093.481480057546 1.2331517145167876e-16 8.55927789140225e-36
4095.5323748612027 1.2240351883348223e-16 8.359201142074314e-36
4097.5832696648595 1.120112073359375e-16 7.543435177395536e-36
4099.634164468516 1.063613522837364e-16 7.171386118460882e-36
4101.685059272173 1.0693785948109815e-16 7.259195463391662e-36
4103.73595407583 1.0887280769416356e-16 7.259744037102071e-36
4105.786848879487 1.0932454177477328e-16 7.306920037989525e-36
4107.837743683143 1.0900259524593982e-16 7.263740561040572e-36
4109.8886384868 1.0775047238067828e-16 7.183700345920857e-36
4111.939533290457 1.0390345570950251e-16 6.973976216066948e-36
4113.990428094114 9.871060595556108e-17 6.54826161649732e-36
4116.04132289777 9.648313001133148e-17 6.448559741477799e-36
4118.092217701427 1.0266310084486353e-16 6.89283971741468e-36
4120.143112505084 9.931113133995025e-17 6.497896269396118e-36
4122.194007308741 9.552032596447287e-17 6.493733646270963e-36
4124.2449021123975 9.594870707286245e-17 6.502721966587969e-36
4126.295796916054 9.189402273661778e-17 6.160698922034942e-36
4128.346691719711 9.609800045341869e-17 6.489555053481559e-36
4130.397586523368 9.43472009157824e-17 6.162550807015126e-36
4132.448481327025 9.169698204331786e-17 6.098923556148029e-36
4134.499376130681 9.441699105947122e-17 6.279986015960001e-36
4136.550270934339 8.945603454984262e-17 5.886501335624029e-36
4138.601165737996 9.609999406004413e-17 6.44350329102428e-36
4140.652060541653 9.435132634214215e-17 6.132097798789981e-36
4142.702955345309 9.612250892866842e-17 6.407091267184191e-36
4144.753850148966 8.599535319571688e-17 5.6059523711388543e-36
4146.804744952623 9.298359836619637e-17 6.006244172375112e-36
4148.85563975628 9.11494220529424e-17 5.997924619452578e-36
4150.9065345599365 8.924617485523454e-17 5.811364157172358e-36
4152.957429363593 9.247976709844812e-17 6.198858042161811e-36
4155.00832416725 8.366153613028896e-17 5.483671474993318e-36
4157.059218970907 7.877632782488906e-17 5.190690974339907e-36
4159.110113774564 7.622706980856314e-17 5.1759017129186925e-36
4161.16100857822 8.85165234619149e-17 5.908056747433955e-36
4163.211903381877 8.79883262212749e-17 5.9175628891072405e-36
4165.262798185534 8.926778389042576e-17 6.030054627651008e-36
4167.313692989191 8.936798343734862e-17 5.904937120894811e-36
4169.3645877928475 8.927418529897459e-17 5.726215007834085e-36
4171.415482596504 8.273686091566777e-17 5.444723906608239e-36
4173.466377400161 8.446024891790422e-17 5.4343530707449536e-36
4175.517272203818 8.636982838110865e-17 5.527953715580153e-36
4177.568167007475 8.462601604617852e-17 5.475830580672485e-36
4179.619061811131 7.257046755838897e-17 4.808798604141508e-36
4181.669956614788 6.697120518984798e-17 4.273041686923819e-36
4183.720851418445 5.924632017440413e-17 3.8506610122471865e-36
4185.771746222102 6.577410696742184e-17 4.2785556620020026e-36
4187.8226410257585 6.358097708045737e-17 4.1348938583485066e-36
4189.873535829415 6.503857174875384e-17 4.320662510433968e-36
4191.924430633072 6.966732529292061e-17 4.633134180177682e-36
4193.975325436729 7.296078800939649e-17 4.643032869800171e-36
4196.026220240386 7.277293474018311e-17 4.611999649382431e-36
4198.077115044042 7.327809222614833e-17 4.606619920810908e-36
4200.128009847699 6.981598062482055e-17 4.34010081533325e-36
4202.178904651356 7.246763860934957e-17 4.470441247928115e-36
4204.229799455014 7.566191245809682e-17 4.8055712974291056e-36
4206.28069425867 7.000185213553878e-17 4.3461891774712794e-36
4208.331589062327 7.065594862109655e-17 4.460757498440827e-36
4210.382483865984 7.105837537457318e-17 4.4649445289551684e-36
4212.433378669641 7.058691925166335e-17 4.440460544377962e-36
4214.484273473297 6.982906928563154e-17 4.3023137439849824e-36
4216.535168276954 7.045001028641682e-17 4.3624397543819605e-36
4218.586063080611 7.29225875855435e-17 4.668856543942332e-36
4220.636957884268 7.016379978602623e-17 4.3698370381131345e-36
4222.6878526879245 6.792661617718596e-17 4.206012427839876e-36
4224.738747491581 7.070536947709872e-17 4.288342749190856e-36
4226.789642295238 7.220774502719585e-17 4.403447165641148e-36
4228.840537098895 7.117780382027038e-17 4.326218627336487e-36
4230.891431902552 7.175132574971322e-17 4.3503660296177006e-36
4232.942326706208 6.739966839050505e-17 4.179037967044692e-36
4234.993221509865 7.131758450961773e-17 4.470643584488752e-36
4237.044116313522 7.006901672969508e-17 4.3023694777820627e-36
4239.095011117179 6.946975886140947e-17 4.290134295752084e-36
4241.1459059208355 7.194023992664181e-17 4.4275690250301116e-36
4243.196800724492 7.157864281785478e-17 4.3844490736618764e-36
4245.247695528149 6.707785559420511e-17 4.137912734816197e-36
4247.298590331806 7.149847449276328e-17 4.337778988832366e-36
4249.349485135463 7.030259708562004e-17 4.33951178259115e-36
4251.400379939119 7.232077979254027e-17 4.38455736351786e-36
4253.451274742776 7.255787802601027e-17 4.403593614387565e-36
4255.502169546433 7.286676211080983e-17 4.530746946299602e-36
4257.55306435009 7.235854547840546e-17 4.454229238387162e-36
4259.6039591537465 7.220078018684295e-17 4.304568794348501e-36
4261.654853957403 7.271405780651201e-17 4.295294867874108e-36
4263.70574876106 7.411666597249772e-17 4.61115634892626e-36
4265.756643564717 7.482179340229338e-17 4.546395708284607e-36
4267.807538368374 7.084143892218956e-17 4.314101157009627e-36
4269.85843317203 7.532656614607787e-17 4.4187310431613035e-36
4271.909327975687 7.101033710140723e-17 4.161793863983132e-36
4273.960222779344 6.999325889114585e-17 4.213526445992018e-36
4276.011117583001 7.121260581084514e-17 4.3943410090566266e-36
4278.062012386657 7.70583288201218e-17 4.63927938575034e-36
4280.112907190314 7.432498872872512e-17 4.4392927081319235e-36
4282.163801993971 7.341169413836375e-17 4.27385634229655e-36
4284.214696797628 7.510982747348781e-17 4.369314400823509e-36
4286.2655916012845 7.503208883651854e-17 4.319322785997449e-36
