x,y,thickness,surface,bed,mask
-643047.4025974027,-3374529.347826087,0.0,0.0,-3248.8643,0
-623142.2077922078,-3374529.347826087,0.0,0.0,-3247.7798,0
-603237.012987013,-3374529.347826087,0.0,0.0,-3295.7402,0
-583331.8181818181,-3374529.347826087,0.0,0.0,-3282.4602,0
-563426.6233766235,-3374529.347826087,0.0,0.0,-3281.913,0
-543521.4285714286,-3374529.347826087,0.0,0.0,-3273.5505,0
-523616.23376623384,-3374529.347826087,0.0,0.0,-3294.0278,0
-503711.038961039,-3374529.347826087,0.0,0.0,-3310.1626,0
-483805.8441558442,-3374529.347826087,0.0,0.0,-3327.961,0
-463900.6493506494,-3374529.347826087,0.0,0.0,-3378.2988,0
-443995.4545454546,-3374529.347826087,0.0,0.0,-3378.3594,0
-424090.2597402598,-3374529.347826087,0.0,0.0,-3373.2368,0
-404185.064935065,-3374529.347826087,0.0,0.0,-3390.6216,0
-384279.8701298702,-3374529.347826087,0.0,0.0,-3387.872,0
-364374.6753246754,-3374529.347826087,0.0,0.0,-3391.8018,0
-344469.48051948054,-3374529.347826087,0.0,0.0,-3394.382,0
-324564.28571428574,-3374529.347826087,0.0,0.0,-3392.4248,0
-304659.09090909094,-3374529.347826087,0.0,0.0,-3427.6833,0
-284753.89610389614,-3374529.347826087,0.0,0.0,-3377.3042,0
-264848.70129870134,-3374529.347826087,0.0,0.0,-3327.5566,0
-244943.50649350655,-3374529.347826087,0.0,0.0,-3286.9187,0
-225038.31168831172,-3374529.347826087,0.0,0.0,-3241.5488,0
-205133.11688311692,-3374529.347826087,0.0,0.0,-3172.9355,0
-185227.92207792212,-3374529.347826087,0.0,0.0,-3083.0122,0
-165322.7272727273,-3374529.347826087,0.0,0.0,-3087.8054,0
-145417.5324675325,-3374529.347826087,0.0,0.0,-2892.732,0
-125512.33766233773,-3374529.347826087,0.0,0.0,-2596.719,0
-105607.1428571429,-3374529.347826087,0.0,0.0,-2353.8862,0
-85701.94805194804,-3374529.347826087,0.0,0.0,-1865.1112,0
-65796.7532467533,-3374529.347826087,0.0,0.0,-1124.859,0
-45891.558441558445,-3374529.347826087,0.0,0.0,-494.68423,0
-25986.363636363705,-3374529.347826087,0.0,0.0,-278.59155,0
-6081.168831168849,-3374529.347826087,0.0,0.0,-203.92581,0
13824.02597402595,-3374529.347826087,0.0,0.0,-188.37741,0
33729.22077922075,-3374529.347826087,0.0,0.0,-422.79117,0
53634.41558441555,-3374529.347826087,0.0,0.0,-191.97633,0
73539.61038961035,-3374529.347826087,0.0,0.0,-196.07904,0
93444.8051948052,-3374529.347826087,0.0,0.0,-299.1834,0
113349.99999999994,-3374529.347826087,0.0,0.0,-501.64758,0
133255.1948051948,-3374529.347826087,0.0,0.0,-1138.1205,0
153160.38961038954,-3374529.347826087,0.0,0.0,-1686.7715,0
173065.5844155844,-3374529.347826087,0.0,0.0,-1882.02,0
192970.7792207792,-3374529.347826087,0.0,0.0,-2084.63,0
212875.974025974,-3374529.347826087,0.0,0.0,-2248.6877,0
232781.16883116885,-3374529.347826087,0.0,0.0,-2426.6533,0
252686.3636363636,-3374529.347826087,0.0,0.0,-2581.1968,0
272591.55844155845,-3374529.347826087,0.0,0.0,-2688.4377,0
292496.7532467532,-3374529.347826087,0.0,0.0,-2823.8174,0
312401.94805194804,-3374529.347826087,0.0,0.0,-2970.017,0
332307.14285714284,-3374529.347826087,0.0,0.0,-2949.8875,0
352212.33766233764,-3374529.347826087,0.0,0.0,-2963.8513,0
372117.53246753244,-3374529.347826087,0.0,0.0,-3015.6824,0
392022.72727272724,-3374529.347826087,0.0,0.0,-3064.2356,0
411927.92207792203,-3374529.347826087,0.0,0.0,-3074.5935,0
431833.1168831169,-3374529.347826087,0.0,0.0,-3099.7449,0
451738.31168831163,-3374529.347826087,0.0,0.0,-3112.1067,0
471643.5064935065,-3374529.347826087,0.0,0.0,-3024.843,0
491548.70129870134,-3374529.347826087,0.0,0.0,-2936.2314,0
511453.8961038961,-3374529.347826087,0.0,0.0,-2998.4136,0
531359.0909090908,-3374529.347826087,0.0,0.0,-2967.3716,0
551264.2857142857,-3374529.347826087,0.0,0.0,-2832.471,0
571169.4805194805,-3374529.347826087,0.0,0.0,-2915.7314,0
591074.6753246753,-3374529.347826087,0.0,0.0,-2736.6943,0
610979.8701298701,-3374529.347826087,0.0,0.0,-2543.6611,0
630885.0649350649,-3374529.347826087,0.0,0.0,-2545.4812,0
650790.2597402597,-3374529.347826087,0.0,0.0,-2570.9744,0
670695.4545454546,-3374529.347826087,0.0,0.0,-2529.3665,0
690600.6493506493,-3374529.347826087,0.0,0.0,-2333.2346,0
710505.8441558442,-3374529.347826087,0.0,0.0,-2210.7017,0
730411.0389610389,-3374529.347826087,0.0,0.0,-2049.7908,0
750316.2337662338,-3374529.347826087,0.0,0.0,-1854.1277,0
770221.4285714285,-3374529.347826087,0.0,0.0,-1621.5017,0
790126.6233766234,-3374529.347826087,0.0,0.0,-1524.5245,0
810031.8181818181,-3374529.347826087,0.0,0.0,-1471.3048,0
829937.012987013,-3374529.347826087,0.0,0.0,-1534.289,0
849842.2077922078,-3374529.347826087,0.0,0.0,-1541.0833,0
869747.4025974026,-3374529.347826087,0.0,0.0,-1529.6711,0
-643047.4025974027,-3354588.0434782607,0.0,0.0,-3178.938,0
-623142.2077922078,-3354588.0434782607,0.0,0.0,-3187.0215,0
-603237.012987013,-3354588.0434782607,0.0,0.0,-3258.5286,0
-583331.8181818181,-3354588.0434782607,0.0,0.0,-3244.0776,0
-563426.6233766235,-3354588.0434782607,0.0,0.0,-3220.2644,0
-543521.4285714286,-3354588.0434782607,0.0,0.0,-3245.3142,0
-523616.23376623384,-3354588.0434782607,0.0,0.0,-3255.475,0
-503711.038961039,-3354588.0434782607,0.0,0.0,-3281.2166,0
-483805.8441558442,-3354588.0434782607,0.0,0.0,-3332.6191,0
-463900.6493506494,-3354588.0434782607,0.0,0.0,-3372.0894,0
-443995.4545454546,-3354588.0434782607,0.0,0.0,-3377.4832,0
-424090.2597402598,-3354588.0434782607,0.0,0.0,-3368.6387,0
-404185.064935065,-3354588.0434782607,0.0,0.0,-3377.6978,0
-384279.8701298702,-3354588.0434782607,0.0,0.0,-3363.3281,0
-364374.6753246754,-3354588.0434782607,0.0,0.0,-3359.859,0
-344469.48051948054,-3354588.0434782607,0.0,0.0,-3382.3,0
-324564.28571428574,-3354588.0434782607,0.0,0.0,-3393.8413,0
-304659.09090909094,-3354588.0434782607,0.0,0.0,-3401.855,0
-284753.89610389614,-3354588.0434782607,0.0,0.0,-3312.7017,0
-264848.70129870134,-3354588.0434782607,0.0,0.0,-3279.8438,0
-244943.50649350655,-3354588.0434782607,0.0,0.0,-3223.0723,0
-225038.31168831172,-3354588.0434782607,0.0,0.0,-3186.8003,0
-205133.11688311692,-3354588.0434782607,0.0,0.0,-3160.8513,0
-185227.92207792212,-3354588.0434782607,0.0,0.0,-3058.1855,0
-165322.7272727273,-3354588.0434782607,0.0,0.0,-2960.8757,0
-145417.5324675325,-3354588.0434782607,0.0,0.0,-2932.4478,0
-125512.33766233773,-3354588.0434782607,0.0,0.0,-2668.7297,0
-105607.1428571429,-3354588.0434782607,0.0,0.0,-2222.5457,0
-85701.94805194804,-3354588.0434782607,0.0,0.0,-1487.4314,0
-65796.7532467533,-3354588.0434782607,0.0,0.0,-433.28583,0
-45891.558441558445,-3354588.0434782607,0.0,0.0,-159.768,0
-25986.363636363705,-3354588.0434782607,0.0,0.0,-143.9451,0
-6081.168831168849,-3354588.0434782607,0.0,0.0,-134.58635,0
13824.02597402595,-3354588.0434782607,0.0,0.0,-134.32822,0
33729.22077922075,-3354588.0434782607,0.0,0.0,-138.18018,0
53634.41558441555,-3354588.0434782607,0.0003540672,4.3772883,-83.85539,0
73539.61038961035,-3354588.0434782607,0.0006661636,8.065896,-88.92336,0
93444.8051948052,-3354588.0434782607,0.0,0.0,-159.74931,0
113349.99999999994,-3354588.0434782607,0.0,0.0,-186.978,0
133255.1948051948,-3354588.0434782607,0.0,0.0,-340.411,0
153160.38961038954,-3354588.0434782607,0.0,0.0,-1055.0276,0
173065.5844155844,-3354588.0434782607,0.0,0.0,-1772.042,0
192970.7792207792,-3354588.0434782607,0.0,0.0,-1921.0142,0
212875.974025974,-3354588.0434782607,0.0,0.0,-2119.4236,0
232781.16883116885,-3354588.0434782607,0.0,0.0,-2296.0635,0
252686.3636363636,-3354588.0434782607,0.0,0.0,-2442.267,0
272591.55844155845,-3354588.0434782607,0.0,0.0,-2672.7515,0
292496.7532467532,-3354588.0434782607,0.0,0.0,-2795.3225,0
312401.94805194804,-3354588.0434782607,0.0,0.0,-2863.0374,0
332307.14285714284,-3354588.0434782607,0.0,0.0,-2916.9392,0
352212.33766233764,-3354588.0434782607,0.0,0.0,-2931.5432,0
372117.53246753244,-3354588.0434782607,0.0,0.0,-2932.917,0
392022.72727272724,-3354588.0434782607,0.0,0.0,-3020.924,0
411927.92207792203,-3354588.0434782607,0.0,0.0,-3113.0186,0
431833.1168831169,-3354588.0434782607,0.0,0.0,-3052.675,0
451738.31168831163,-3354588.0434782607,0.0,0.0,-3078.9028,0
471643.5064935065,-3354588.0434782607,0.0,0.0,-3043.9832,0
491548.70129870134,-3354588.0434782607,0.0,0.0,-3019.2693,0
511453.8961038961,-3354588.0434782607,0.0,0.0,-2947.0156,0
531359.0909090908,-3354588.0434782607,0.0,0.0,-3071.4788,0
551264.2857142857,-3354588.0434782607,0.0,0.0,-3027.7188,0
571169.4805194805,-3354588.0434782607,0.0,0.0,-3071.4097,0
591074.6753246753,-3354588.0434782607,0.0,0.0,-2829.018,0
610979.8701298701,-3354588.0434782607,0.0,0.0,-2670.766,0
630885.0649350649,-3354588.0434782607,0.0,0.0,-2571.0928,0
650790.2597402597,-3354588.0434782607,0.0,0.0,-2590.7778,0
670695.4545454546,-3354588.0434782607,0.0,0.0,-2456.5684,0
690600.6493506493,-3354588.0434782607,0.0,0.0,-2281.9429,0
710505.8441558442,-3354588.0434782607,0.0,0.0,-2186.8667,0
730411.0389610389,-3354588.0434782607,0.0,0.0,-2058.6367,0
750316.2337662338,-3354588.0434782607,0.0,0.0,-1882.5045,0
770221.4285714285,-3354588.0434782607,0.0,0.0,-1615.5874,0
790126.6233766234,-3354588.0434782607,0.0,0.0,-1580.3491,0
810031.8181818181,-3354588.0434782607,0.0,0.0,-1459.7075,0
829937.012987013,-3354588.0434782607,0.0,0.0,-1502.8446,0
849842.2077922078,-3354588.0434782607,0.0,0.0,-1413.9818,0
869747.4025974026,-3354588.0434782607,0.0,0.0,-1551.9202,0
-643047.4025974027,-3334646.7391304346,0.0,0.0,-3116.5864,0
-623142.2077922078,-3334646.7391304346,0.0,0.0,-3175.0413,0
-603237.012987013,-3334646.7391304346,0.0,0.0,-3225.1924,0
-583331.8181818181,-3334646.7391304346,0.0,0.0,-3180.6677,0
-563426.6233766235,-3334646.7391304346,0.0,0.0,-3185.6582,0
-543521.4285714286,-3334646.7391304346,0.0,0.0,-3240.7737,0
-523616.23376623384,-3334646.7391304346,0.0,0.0,-3241.248,0
-503711.038961039,-3334646.7391304346,0.0,0.0,-3289.9238,0
-483805.8441558442,-3334646.7391304346,0.0,0.0,-3341.3174,0
-463900.6493506494,-3334646.7391304346,0.0,0.0,-3354.0864,0
-443995.4545454546,-3334646.7391304346,0.0,0.0,-3350.5952,0
-424090.2597402598,-3334646.7391304346,0.0,0.0,-3344.5527,0
-404185.064935065,-3334646.7391304346,0.0,0.0,-3335.9402,0
-384279.8701298702,-3334646.7391304346,0.0,0.0,-3339.7896,0
-364374.6753246754,-3334646.7391304346,0.0,0.0,-3341.2126,0
-344469.48051948054,-3334646.7391304346,0.0,0.0,-3351.5408,0
