node_id,parent_id,category
0,-1,1000
1,0,-1
2,1,-1
3,1,-1
4,0,-1
5,2,-1
6,1,-1
7,5,-1
8,6,-1
9,3,-1
10,1,-1
11,2,-1
12,0,-1
13,8,-1
14,3,-1
15,5,-1
16,12,-1
17,3,-1
18,9,-1
19,6,-1
20,8,-1
21,2,-1
22,9,-1
23,0,-1
24,8,-1
25,7,-1
26,21,-1
27,16,-1
28,27,-1
29,12,-1
30,21,-1
31,7,-1
32,25,-1
33,31,-1
34,30,-1
35,4,-1
36,30,-1
37,18,-1
38,29,-1
39,27,-1
40,5,-1
41,2,-1
42,15,-1
43,2,-1
44,27,-1
45,13,-1
46,27,-1
47,29,-1
48,18,-1
49,0,-1
50,40,-1
51,35,-1
52,46,-1
53,52,-1
54,38,-1
55,13,-1
56,54,-1
57,13,-1
58,10,-1
59,20,-1
60,53,-1
61,26,-1
62,32,-1
63,36,-1
64,59,-1
65,39,-1
66,14,-1
67,41,-1
68,35,-1
69,64,-1
70,12,-1
71,1,-1
72,31,-1
73,2,-1
74,34,-1
75,15,-1
76,28,-1
77,42,-1
78,30,-1
79,41,-1
80,31,-1
81,51,-1
82,59,-1
83,2,-1
84,75,-1
85,46,-1
86,79,-1
87,12,-1
88,26,-1
89,1,-1
90,78,-1
91,66,-1
92,72,-1
93,49,-1
94,62,-1
95,76,-1
96,17,-1
97,2,-1
98,56,-1
99,53,-1
100,56,-1
101,18,-1
102,91,-1
103,46,-1
104,73,-1
105,16,-1
106,10,-1
107,71,-1
108,49,-1
109,76,-1
110,55,-1
111,21,-1
112,61,-1
113,43,-1
114,38,-1
115,103,-1
116,35,-1
117,20,-1
118,25,-1
119,47,-1
120,82,-1
121,117,-1
122,113,-1
123,84,-1
124,48,-1
125,66,-1
126,37,-1
127,60,-1
128,32,-1
129,62,-1
130,11,-1
131,49,-1
132,97,-1
133,35,-1
134,75,-1
135,23,-1
136,81,-1
137,42,-1
138,134,-1
139,97,-1
140,73,-1
141,14,-1
142,43,-1
143,22,-1
144,94,-1
145,107,-1
146,138,-1
147,52,-1
148,74,-1
149,10,-1
150,127,-1
151,55,-1
152,21,-1
153,79,-1
154,150,-1
155,38,-1
156,146,-1
157,12,-1
158,122,-1
159,109,-1
160,116,-1
161,83,-1
162,27,-1
163,20,-1
164,146,-1
165,159,-1
166,163,-1
167,10,-1
168,94,-1
169,44,-1
170,18,-1
171,17,-1
172,59,-1
173,77,-1
174,93,-1
175,28,-1
176,138,-1
177,45,-1
178,101,-1
179,117,-1
180,46,-1
181,32,-1
182,40,-1
183,141,-1
184,68,-1
185,79,-1
186,119,-1
187,102,-1
188,69,-1
189,17,-1
190,1,-1
191,104,-1
192,168,-1
193,55,-1
194,1,-1
195,44,-1
196,64,-1
197,22,-1
198,86,-1
199,155,-1
200,171,-1
201,12,-1
202,134,-1
203,156,-1
204,106,-1
205,101,-1
206,106,-1
207,25,-1
208,104,-1
209,171,-1
210,9,-1
211,37,-1
212,203,-1
213,105,-1
214,156,-1
215,196,-1
216,144,-1
217,133,-1
218,83,-1
219,145,-1
220,48,-1
221,190,-1
222,63,-1
223,84,-1
224,31,-1
225,129,-1
226,127,-1
227,33,-1
228,173,-1
229,98,-1
230,148,-1
231,100,-1
232,220,-1
233,192,-1
234,170,-1
235,70,-1
236,19,-1
237,153,-1
238,158,-1
239,221,-1
240,126,-1
241,154,-1
242,138,-1
243,95,-1
244,92,-1
245,144,-1
246,114,-1
247,2,-1
248,89,-1
249,114,-1
250,146,-1
251,91,-1
252,23,-1
253,233,-1
254,78,-1
255,122,-1
256,23,-1
257,118,-1
258,187,-1
259,243,-1
260,3,-1
261,201,-1
262,112,-1
263,255,-1
264,79,-1
265,165,-1
266,160,-1
267,212,-1
268,136,-1
269,234,-1
270,91,-1
271,144,-1
272,192,-1
273,55,-1
274,213,-1
275,203,-1
276,232,-1
277,165,-1
278,119,-1
279,75,-1
280,119,-1
281,241,-1
282,15,-1
283,254,-1
284,39,-1
285,112,-1
286,232,-1
287,45,-1
288,279,-1
289,206,-1
290,212,-1
291,191,-1
292,282,-1
293,91,-1
294,61,-1
295,279,-1
296,197,-1
297,189,-1
298,26,-1
299,180,-1
300,12,-1
301,8,-1
302,258,-1
303,29,-1
304,69,-1
305,110,-1
306,146,-1
307,236,-1
308,69,-1
309,60,-1
310,252,-1
311,47,-1
312,52,-1
313,61,-1
314,164,-1
315,282,-1
316,123,-1
317,5,-1
318,206,-1
319,307,-1
320,133,-1
321,282,-1
322,160,-1
323,14,-1
324,85,-1
325,95,-1
326,20,-1
327,78,-1
328,180,-1
329,138,-1
330,164,-1
331,94,-1
332,68,-1
333,193,-1
334,331,-1
335,47,-1
336,242,-1
337,30,-1
338,4,-1
339,328,-1
340,166,-1
341,59,-1
342,118,-1
343,260,-1
344,33,-1
345,332,-1
346,317,-1
347,98,-1
348,112,-1
349,333,-1
350,175,-1
351,63,-1
352,266,-1
353,54,-1
354,274,-1
355,321,-1
356,141,-1
357,251,-1
358,315,-1
359,340,-1
360,61,-1
361,289,-1
362,51,-1
363,286,-1
364,227,-1
365,306,-1
366,125,-1
367,291,-1
368,337,-1
369,114,-1
370,180,-1
371,114,-1
372,345,-1
373,57,-1
374,283,-1
375,227,-1
376,326,-1
377,151,3347
378,336,-1
379,172,-1
380,311,-1
381,57,-1
382,375,-1
383,78,-1
384,191,-1
385,363,-1
386,165,-1
387,350,-1
388,201,-1
389,225,-1
390,177,-1
391,94,-1
392,6,-1
393,220,-1
394,212,-1
395,314,-1
396,174,-1
397,128,-1
398,228,-1
399,340,-1
400,226,-1
401,105,-1
402,146,-1
403,96,-1
404,249,-1
405,80,-1
406,8,-1
407,202,-1
408,196,-1
409,203,-1
410,2,-1
411,103,-1
412,71,-1
413,5,-1
414,50,-1
415,195,-1
416,222,-1
417,240,-1
418,51,-1
419,23,-1
420,350,-1
421,188,-1
422,353,-1
423,52,-1
424,20,-1
425,80,-1
426,424,-1
427,212,-1
428,324,-1
429,381,-1
430,13,-1
431,394,-1
432,183,-1
433,144,-1
434,61,-1
435,327,-1
436,264,-1
437,3,-1
438,100,-1
439,321,-1
440,64,-1
441,312,-1
442,358,-1
443,113,-1
444,125,-1
445,47,-1
446,20,-1
447,348,-1
448,94,-1
449,252,-1
450,128,-1
451,356,-1
452,209,-1
453,362,-1
454,221,-1
455,308,-1
456,161,-1
457,245,-1
458,169,-1
459,18,-1
460,25,-1
461,396,-1
462,175,-1
463,85,-1
464,168,-1
465,51,-1
466,444,-1
467,446,-1
468,343,-1
469,447,-1
470,110,-1
471,379,-1
472,460,-1
473,120,-1
474,41,-1
475,20,-1
476,19,-1
477,206,-1
478,6,-1
479,170,-1
480,475,-1
481,396,-1
482,472,-1
483,195,-1
484,14,-1
485,65,-1
486,36,-1
487,188,-1
488,50,-1
489,422,-1
490,54,-1
491,392,-1
492,215,-1
493,305,-1
494,42,-1
495,394,-1
496,332,-1
497,19,-1
498,400,-1
499,117,-1
500,208,-1
501,166,-1
502,343,-1
503,78,-1
504,163,-1
505,43,-1
506,328,-1
507,297,-1
508,110,-1
509,457,-1
510,267,-1
511,144,-1
512,465,-1
513,456,-1
514,199,-1
515,150,-1
516,482,-1
517,398,-1
518,492,-1
519,209,-1
520,110,-1
521,422,-1
522,290,-1
523,94,-1
524,212,-1
525,351,-1
526,248,-1
527,324,-1
528,284,-1
529,14,-1
530,354,-1
531,438,-1
532,336,-1
533,77,-1
534,517,-1
535,127,-1
536,431,-1
537,349,-1
538,84,-1
539,322,-1
540,286,-1
541,495,-1
542,265,-1
543,349,-1
544,184,-1
545,321,-1
546,446,-1
547,72,-1
548,263,-1
549,37,-1
550,450,-1
551,223,-1
552,198,-1
553,189,-1
554,131,-1
555,26,-1
556,448,-1
557,16,-1
558,280,-1
559,216,-1
560,483,-1
561,176,-1
562,53,-1
563,263,-1
564,175,-1
565,364,-1
566,103,-1
567,243,-1
568,128,-1
569,322,-1
570,250,-1
571,506,-1
572,482,-1
573,262,-1
574,126,-1
575,162,-1
576,51,-1
577,312,-1
578,447,-1
579,440,-1
580,271,-1
581,182,-1
582,422,-1
583,267,-1
584,379,-1
585,458,-1
586,539,-1
587,197,-1
588,282,-1
589,80,-1
590,540,-1
591,369,-1
592,307,-1
593,172,-1
594,197,-1
595,590,-1
596,451,-1
597,411,-1
598,224,-1
599,366,-1
600,423,-1
601,569,-1
602,221,-1
603,88,-1
604,495,-1
605,67,-1
606,485,-1
607,256,-1
608,212,-1
609,401,-1
610,543,-1
611,153,-1
612,510,-1
613,356,-1
614,408,-1
615,44,-1
616,225,-1
617,358,-1
618,207,-1
619,192,-1
620,98,-1
621,586,-1
622,96,-1
623,199,-1
624,236,-1
625,39,-1
626,319,-1
627,477,-1
628,204,-1
629,156,-1
630,456,-1
631,323,-1
632,269,-1
633,509,-1
634,610,-1
635,35,-1
636,162,-1
637,243,-1
638,333,-1
639,171,-1
640,407,-1
641,111,-1
642,579,-1
643,129,-1
644,592,-1
645,410,-1
646,555,-1
647,236,-1
648,100,-1
649,239,-1
650,331,-1
651,16,-1
652,525,-1
653,55,-1
654,322,-1
655,21,-1
656,643,-1
657,114,-1
658,118,-1
659,586,-1
660,74,-1
661,361,-1
662,296,-1
663,3,-1
664,171,-1
665,566,-1
666,510,-1
667,666,-1
668,328,-1
669,234,-1
670,436,-1
671,611,-1
672,641,-1
673,244,-1
674,340,-1
675,241,-1
676,322,-1
677,391,-1
678,142,-1
679,554,-1
680,181,-1
681,83,-1
682,115,-1
683,364,-1
684,13,-1
685,477,-1
686,138,-1
687,111,-1
688,57,-1
689,164,-1
690,206,-1
691,421,-1
692,632,-1
693,223,-1
694,417,-1
695,385,-1
696,671,-1
697,602,-1
698,497,-1
699,680,-1
700,226,-1
701,472,-1
702,654,-1
703,263,-1
704,399,-1
705,371,-1
706,384,-1
707,68,-1
708,312,-1
709,140,-1
710,250,-1
711,410,-1
712,119,-1
713,358,-1
714,304,-1
715,616,-1
716,71,-1
717,190,-1
718,390,-1
719,313,-1
720,28,-1
721,428,-1
722,644,-1
723,34,-1
724,187,-1
725,237,-1
726,281,-1
727,400,-1
728,505,-1
729,276,-1
730,99,-1
731,542,-1
732,58,-1
733,231,-1
734,191,-1
735,86,-1
736,1,-1
737,244,-1
738,541,-1
739,516,-1
740,647,-1
741,98,-1
742,456,-1
743,492,-1
744,419,-1
745,453,-1
746,552,-1
747,540,-1
748,114,-1
749,332,-1
750,546,-1
751,728,-1
752,288,-1
753,452,-1
754,65,-1
755,584,-1
756,420,-1
757,704,-1
758,89,-1
759,653,-1
760,60,-1
761,712,-1
762,590,-1
763,415,-1
764,36,-1
765,13,-1
766,722,-1
767,676,-1
768,677,-1
769,599,-1
770,357,-1
771,31,-1
772,650,-1
773,260,-1
774,320,-1
775,663,-1
776,75,-1
777,687,-1
778,616,-1
779,53,-1
780,755,-1
781,464,-1
782,487,-1
783,560,-1
784,342,-1
785,668,-1
786,548,-1
787,367,-1
788,230,-1
789,562,-1
790,272,-1
791,575,-1
792,177,-1
793,369,-1
794,483,-1
795,748,-1
796,475,-1
797,594,-1
798,506,-1
799,301,-1
800,21,-1
801,461,-1
802,488,-1
803,799,-1
804,310,-1
805,676,-1
806,146,-1
807,494,-1
808,180,-1
809,302,-1
810,388,-1
811,448,-1
812,744,-1
813,56,-1
814,229,-1
815,475,-1
816,545,-1
817,393,-1
818,27,-1
819,753,-1
820,193,-1
821,508,-1
822,530,-1
823,40,-1
824,709,-1
825,472,-1
826,595,-1
827,560,-1
828,766,-1
829,127,-1
830,399,-1
831,615,-1
832,300,-1
833,722,-1
834,705,-1
835,291,-1
836,0,-1
837,198,-1
838,146,-1
839,4,-1
840,395,-1
841,482,-1
842,168,-1
843,279,-1
844,409,-1
845,816,-1
846,141,-1
847,495,-1
848,622,-1
849,665,-1
850,74,-1
851,130,-1
852,277,-1
853,721,-1
854,35,-1
855,469,-1
856,807,-1
857,572,-1
858,848,-1
859,700,-1
860,764,-1
861,178,-1
862,16,-1
863,664,-1
864,596,-1
865,294,-1
866,244,-1
867,579,-1
868,699,-1
869,495,-1
870,679,-1
871,203,-1
872,781,-1
873,79,-1
874,178,-1
875,421,-1
876,727,-1
877,170,-1
878,259,-1
879,617,-1
880,310,-1
881,76,-1
882,230,-1
883,768,-1
884,394,-1
885,187,-1
886,121,-1
887,656,-1
888,257,-1
889,319,-1
890,158,-1
891,309,-1
892,55,-1
893,164,-1
894,389,-1
895,516,-1
896,161,-1
897,455,-1
898,11,-1
899,149,-1
900,749,-1
901,57,-1
902,635,-1
903,355,-1
904,826,-1
905,82,-1
906,257,-1
907,477,-1
908,303,-1
909,885,-1
910,796,-1
911,281,-1
912,469,-1
913,113,-1
914,702,-1
915,162,-1
916,813,-1
917,563,-1
918,877,-1
919,290,-1
920,373,-1
921,226,-1
922,697,-1
923,800,-1
924,160,-1
925,566,-1
926,28,-1
927,642,-1
928,527,-1
929,649,-1
930,252,-1
931,188,-1
932,443,-1
933,733,-1
934,91,-1
935,712,-1
936,930,-1
937,309,-1
938,436,-1
939,883,-1
940,41,5406
941,274,-1
942,179,-1
943,2,-1
944,304,-1
945,843,-1
946,363,-1
947,904,-1
948,122,-1
949,654,-1
950,894,-1
951,788,-1
952,205,-1
953,490,-1
954,457,-1
955,71,-1
956,606,-1
957,783,-1
958,514,-1
959,38,-1
960,737,-1
961,520,-1
962,687,-1
963,737,-1
964,150,-1
965,516,-1
966,304,-1
967,327,-1
968,965,-1
969,673,-1
970,630,-1
971,143,-1
972,456,-1
973,481,-1
974,470,-1
975,562,-1
976,130,-1
977,973,-1
978,753,-1
979,695,-1
980,724,-1
981,648,-1
982,561,-1
983,396,-1
984,122,-1
985,979,-1
986,444,-1
987,696,-1
988,505,-1
989,597,-1
990,179,-1
991,131,-1
992,739,-1
993,635,-1
994,758,-1
995,348,-1
996,783,-1
997,746,-1
998,197,-1
999,768,-1
1000,74,-1
1001,789,-1
1002,278,-1
1003,732,-1
1004,449,-1
1005,511,-1
1006,841,-1
1007,817,-1
1008,774,-1
1009,560,-1
1010,879,-1
1011,533,-1
1012,798,-1
1013,339,-1
1014,450,-1
1015,378,-1
1016,213,-1
1017,406,-1
1018,715,-1
1019,385,-1
1020,994,-1
1021,2,-1
1022,939,-1
1023,824,-1
1024,44,-1
1025,612,-1
1026,788,-1
1027,545,-1
1028,862,-1
1029,297,-1
1030,775,-1
1031,323,-1
1032,865,-1
1033,173,-1
1034,138,-1
1035,429,-1
1036,139,-1
1037,253,-1
1038,681,-1
1039,467,-1
1040,220,-1
1041,66,-1
1042,94,-1
1043,502,-1
1044,875,-1
1045,518,-1
1046,99,-1
1047,890,-1
1048,311,-1
1049,345,-1
1050,963,-1
1051,690,-1
1052,143,-1
1053,449,-1
1054,348,-1
1055,733,-1
1056,263,-1
1057,209,-1
1058,397,-1
1059,177,-1
1060,116,-1
1061,147,-1
1062,329,-1
1063,346,-1
1064,472,-1
1065,129,-1
1066,289,-1
1067,591,-1
1068,678,-1
1069,720,-1
1070,268,-1
1071,318,-1
1072,350,-1
1073,976,-1
1074,676,-1
1075,703,-1
1076,696,-1
1077,186,-1
1078,736,-1
1079,197,-1
1080,946,-1
1081,530,-1
1082,436,-1
1083,200,-1
1084,155,-1
1085,271,-1
1086,438,-1
1087,246,-1
1088,962,-1
1089,117,-1
1090,139,-1
1091,708,-1
1092,366,-1
1093,119,-1
1094,696,-1
1095,539,-1
1096,14,-1
1097,744,-1
1098,633,-1
1099,1092,-1
1100,948,-1
1101,548,-1
1102,724,-1
1103,1081,-1
1104,1000,-1
1105,411,-1
1106,284,-1
1107,106,-1
1108,458,-1
1109,1027,-1
1110,824,-1
1111,55,-1
1112,493,-1
