Grøn,Classic,FF,Guld,Harboe,Alkoholfriøl,Technovand+cider,Cocio,Sodavand,Drinks
14,1,3,6,,,2,,2,
1,1,,1,,,,,,1
5,4,1,1,1,,,,,4
1,,1,,,,6,,,1
23,1,1,,1,,1,,1,
12,3,,,,,,,4,
5,4,,,,,,,,
14,5,2,2,,,,1,4,
2,,,,,,,2,2,
,7,,1,,,5,,3,5
,3,2,1,,,4,,,
21,20,1,,,,2,,,5
2,,1,1,,1,6,,,3
1,15,1,,,,3,,1,
,,,,,,7,,1,
17,,,,,,,,,1
10,15,,,,,1,,1,1
2,9,,,,,1,,3,1
14,,,,,,,,,3
2,11,1,1,,,6,,1,
,,,,,,,,,1
5,4,,,,,2,2,1,2
6,6,6,,,,,,3,
2,6,4,,,,,,5,
9,13,,2,,,,,5,2
3,4,3,,,,3,1,,1
2,,,,,,10,1,1,1
7,6,,,,,,,1,
2,7,5,,,,,,3,
,,,,,,,,,1
5,7,1,,,,2,,,1
20,2,,6,,,1,1,2,2
2,8,,,,,,,1,3
,,,,,,,,,
9,12,,11,,,9,1,1,1
3,5,2,,,,15,1,1,
2,1,1,,,,1,,2,2
5,6,4,,,,1,,1,1
1,4,3,1,,,11,,1,3
1,,3,,,,2,,2,
5,9,2,5,,,,,2,1
6,4,1,,,,,,3,2
4,17,,,,,,,3,4
9,6,,,,,7,,,1
5,3,12,,,,,,1,4
,,,,,,9,,2,
1,,,2,,,1,1,5,
,,,,,,1,,1,
6,8,,,,,3,,4,
1,,,,,,5,,,
7,7,2,,,,,5,5,
,4,,,,,4,,1,
2,7,3,,,,,,1,
2,,,,,,5,,2,7
10,5,,7,2,,8,,2,1
4,2,2,2,,,2,,1,
3,2,6,1,,,3,,4,
9,,,,,,5,,1,2
6,17,,,,,,1,1,4
1,10,3,,,,,,,3
5,3,,,,,,,3,
3,4,,,,,,1,3,
3,1,,,,,1,1,6,5
5,2,,,,,1,,2,3
,1,,,,,,,,
11,16,,1,,,2,2,1,5
1,5,,,,,1,1,3,1
1,5,,,,,,,6,1
,4,13,,,,,,,1
4,,5,3,,,1,3,3,
8,5,,5,,,1,1,,9
2,2,3,3,,,,,1,
7,9,,,,,,,1,4
5,7,6,2,,,3,1,3,
7,4,,,,,,1,6,
8,9,4,2,,,2,,1,4
,,,,,,21,1,3,2
4,9,,1,,,7,1,1,
3,5,1,,,,1,1,1,1
2,1,,,,,2,,,
11,2,,,,,2,1,1,
2,8,5,,2,,2,1,3,1
10,10,,1,,,,3,3,2
1,4,,,,,6,1,7,
4,8,,,,,5,1,4,2
,,,,,,,,,
21,21,3,,,,,,,20
2,,1,,,,1,,,
,,,,,,1,,,
5,,,,,,,1,2,
,,,,,,,,,
,9,11,,,,2,,2,2
,8,,,,,,,3,4
12,3,,1,,,7,,,3
,,,,,,3,,,
9,7,5,4,1,,,1,1,2
5,3,3,1,,,3,,,
5,7,1,,,,8,1,2,
7,7,2,,,,2,,,
12,3,,4,,,,1,8,
9,5,,3,,,,1,9,
11,3,,1,,,,,3,4
4,1,4,,,,,,,
1,,,,,,,3,9,
