Grøn,Classic,Guld,F-Festival,Sommersby,Soda,Nordic,Mjød,Livseliksir,Heksedrik,shots
14,8,2,1,12,3,1,2,,,21
21,10,,3,,4,,,1,,
2,7,1,2,3,,,5,1,,
5,5,12,,1,2,,,5,2,7
13,3,12,2,,4,,,1,,
14,10,1,,,9,,2,,,
1,,6,2,,2,,,,,
11,1,1,1,,1,,,2,,7
4,,,,,5,1,,1,1,
12,,,,,2,,,1,1,8
4,,,,,3,,,2,,1
8,3,,,,12,,,,1,10
9,5,2,1,4,10,,,,,
8,11,,1,6,3,,,,,1
12,7,5,3,,3,,,,1,
2,2,7,1,,7,,1,1,,
3,9,,1,,5,,,,,1
1,,2,1,,1,,1,,,
10,3,3,2,,,,1,,,
,,,,,,,,,,
3,11,2,4,3,,,,,1,5
,,,,,,,,,,
1,,,1,5,,,,1,,
7,3,12,,,1,,,1,,8
10,2,2,2,1,4,,,,4,1
5,1,,1,,7,,,,,
14,,,,,3,,,,,
,,,,6,,,,1,,
14,6,,,1,,,,1,,
15,9,2,,,3,,1,3,,
2,7,8,3,,,,,,,
,,,,,,,,,,
,,,,1,,,,,,
,,,,,,,,,,
,2,,1,12,5,,1,,1,2
2,3,,,6,3,,,,,2
,,,1,5,2,,1,,1,
6,9,6,,6,1,,1,,,
1,,,,2,1,,1,,,
5,,,,2,3,,,,,
15,17,,,5,2,,,1,1,20
11,3,,,,,,1,,,
,,,,,3,,,,,
3,,,,3,5,,,,,5
,13,,,,3,,,,,
15,3,2,2,,6,,,1,,3
,,,,,,,,,,
,,,,,11,,,,,
,2,4,3,,8,,,,,6
2,,,1,13,,,1,1,,1
14,,,,1,1,,2,1,,
3,1,,,,5,,,,,
,,,,6,5,,1,,,
15,,,10,,1,,3,3,,
,,3,,,,,2,1,,1
11,6,2,1,,1,,1,1,1,
7,1,,2,,2,,3,2,,2
1,1,,,1,3,,5,,,
2,4,,1,1,1,,,,,
12,16,7,4,,,,5,,1,2
3,9,,,1,2,,,,,
21,4,3,2,2,5,,,,,
9,7,2,,2,3,,,,1,
5,,,,,,,,,1,
,,,,,2,,,,,
17,12,7,11,4,8,1,2,,,
16,10,9,8,,,,2,,,9
9,6,,6,,5,,,,,3
1,2,1,4,,3,,,,,
2,9,,4,2,5,,,,,
2,7,2,6,2,2,,,,,
6,2,,7,,4,,,,,
4,3,1,,1,7,,4,,,
20,3,,1,,,,7,5,6,11
11,3,,1,1,,,7,5,6,10
,,,,,4,1,,,,
,,,,,,,,,,
,,,,,,,,,,
,4,12,4,,1,,3,1,,
8,,,4,3,,,,3,,6
2,6,2,,,2,,3,,,
11,12,3,,1,11,,1,2,,
3,7,,4,,,,,,,
5,17,,,1,3,,,,,
2,15,,,,2,,,,,3
,,,,,,,,,,
10,6,5,1,1,2,,,,,
6,10,,1,2,4,,,,,
,,6,,,,,,5,,
10,19,15,7,1,1,,,3,,12
,1,,,2,,,,,,
2,1,1,,2,4,,,,,
2,2,1,,2,1,1,,1,1,
1,8,,5,,2,,,,,4
2,7,,3,2,2,,1,,1,5
,6,,,,1,,,,,
8,,1,,,6,,2,1,,
15,,,,,3,,,,,
9,,,,,4,,,,,
,,,,,,,,,1,1
,,,,,,,,1,1,14
,,,,,,,,,,
