node_id,parent_id,category
0,-1,7728
1,0,-1
2,0,-1
3,0,-1
4,2,-1
5,2,-1
6,2,-1
7,2,-1
8,4,-1
9,5,-1
10,2,-1
11,8,-1
12,3,-1
13,2,-1
14,3,-1
15,1,-1
16,9,-1
17,4,-1
18,4,2966
19,12,-1
20,18,-1
21,6,-1
22,21,-1
23,19,-1
24,1,-1
25,1,-1
26,0,-1
27,23,2051
28,14,-1
29,27,-1
30,5,-1
31,0,-1
32,9,-1
33,24,-1
34,16,-1
35,27,-1
36,14,-1
37,14,-1
38,25,-1
39,19,-1
40,19,-1
41,22,-1
42,12,-1
43,10,-1
44,31,-1
45,23,-1
46,22,-1
47,42,-1
48,39,7622
49,28,-1
50,23,-1
51,16,4607
52,2,-1
53,28,-1
54,2,-1
55,25,-1
56,4,1909
57,30,-1
58,17,-1
59,30,-1
60,38,-1
61,4,-1
62,38,-1
63,34,-1
64,59,-1
65,43,-1
66,2,-1
67,2,-1
68,16,-1
69,22,-1
70,40,-1
71,12,-1
72,66,4130
73,29,-1
74,65,-1
75,27,-1
76,40,-1
77,35,-1
78,58,-1
79,11,-1
80,56,-1
81,24,-1
82,15,-1
83,7,-1
84,36,-1
85,52,-1
86,27,-1
87,72,-1
88,30,-1
89,64,-1
90,43,-1
91,50,-1
92,90,-1
93,17,-1
94,18,-1
95,35,-1
96,72,-1
97,6,-1
98,62,-1
99,92,-1
100,0,-1
101,48,-1
102,55,-1
103,95,-1
104,101,-1
105,24,-1
106,104,-1
107,81,-1
108,11,2753
109,49,-1
110,1,-1
111,14,-1
112,86,-1
113,68,-1
114,48,-1
115,87,-1
116,66,-1
117,105,5446
118,17,-1
119,26,-1
120,41,-1
121,67,-1
122,95,-1
123,42,-1
124,4,-1
125,45,-1
126,59,-1
127,89,-1
128,16,-1
129,48,83
130,49,-1
131,19,-1
132,93,-1
133,12,-1
134,65,-1
135,59,-1
136,69,-1
137,17,-1
138,2,-1
139,19,-1
140,34,-1
141,134,-1
142,34,-1
143,83,-1
144,74,-1
145,95,-1
146,99,-1
147,91,-1
148,20,-1
149,71,3884
150,7,-1
151,105,635
152,142,-1
153,120,-1
154,128,-1
155,140,-1
156,142,-1
157,67,-1
158,137,-1
159,154,7465
160,18,-1
161,87,7267
162,87,-1
163,138,-1
164,116,-1
165,51,-1
166,68,-1
167,32,-1
168,70,-1
169,17,-1
170,35,-1
171,14,-1
172,100,-1
173,19,-1
174,155,-1
175,114,-1
176,136,-1
177,63,-1
178,126,1523
179,140,-1
180,126,-1
181,29,3624
182,19,-1
183,77,-1
184,178,-1
185,138,-1
186,83,-1
187,81,-1
188,20,-1
189,99,3706
190,60,-1
191,133,-1
192,182,-1
193,179,-1
194,173,-1
195,43,-1
196,53,-1
197,9,-1
198,56,-1
199,195,-1
200,141,-1
201,192,-1
202,190,-1
203,92,-1
204,32,-1
205,59,-1
206,45,-1
207,163,-1
208,163,-1
209,183,-1
210,174,9511
211,185,-1
212,37,-1
213,49,-1
214,153,-1
215,89,-1
216,70,-1
217,129,-1
218,59,-1
219,60,-1
220,24,-1
221,74,-1
222,73,-1
223,112,3867
